"deviceCode_deviceCode","deviceCode_location_latitude","deviceCode_location_longitude","deviceCode_location_wardName","deviceCode_pyld_alarmType","deviceCode_pyld_speed","deviceCode_time_recordedTime_$date"
"864504031502210","12.978296279907227","77.74208068847656","Kadugodi","UFCW","28","2018-04-03T01:50:03.000Z"
"864504031502210","12.979735374450684","77.74264526367188","Kadugodi","HMW","27","2018-04-03T01:50:34.000Z"
"864504031502210","12.980629920959473","77.74304962158203","Kadugodi","FCW","33","2018-04-03T01:50:48.000Z"
"864504031502210","12.981705665588379","77.74357604980469","Kadugodi","FCW","46","2018-04-03T01:50:59.000Z"
"864504031502210","12.983278274536133","77.74382781982422","Kadugodi","PCW","42","2018-04-03T01:51:19.000Z"
"864504031502210","12.9841947555542","77.74392700195312","Kadugodi","HMW","32","2018-04-03T01:51:32.000Z"
"864504031502210","12.986234664916992","77.74481964111328","Kadugodi","PCW","6","2018-04-03T01:52:36.000Z"
"864504031502210","12.987091064453125","77.74168395996094","Garudachar Playa","HMW","37","2018-04-03T01:53:16.000Z"
"864504031502210","12.987492561340332","77.73953247070312","Hudi","UFCW","23","2018-04-03T01:53:52.000Z"
"864504031502210","12.987536430358887","77.73810577392578","Hudi","HMW","27","2018-04-03T01:54:15.000Z"
"864504031502210","12.987922668457031","77.73310852050781","Hudi","HMW","45","2018-04-03T01:55:13.000Z"
"864504031502210","12.988448143005371","77.72986602783203","Hudi","HMW","54","2018-04-03T01:55:58.000Z"
"864504031502210","12.988887786865234","77.72760009765625","Hudi","FCW","32","2018-04-03T01:56:17.000Z"
"864504031502210","12.99107837677002","77.72731018066406","Hudi","Overspeed","12","2018-04-03T01:58:00.000Z"
"864504031502210","12.99201774597168","77.72877502441406","Hudi","PCW","20","2018-04-03T02:00:01.000Z"
"864504031502210","12.993858337402344","77.73124694824219","Hudi","Overspeed","30","2018-04-03T02:01:31.000Z"
"864504031502210","12.994791030883789","77.73139953613281","Hudi","Overspeed","10","2018-04-03T02:02:00.000Z"
"864504031502210","12.994817733764648","77.73140716552734","Hudi","Overspeed","10","2018-04-03T02:02:01.000Z"
"864504031502210","12.995555877685547","77.73129272460938","Hudi","Overspeed","12","2018-04-03T02:02:22.000Z"
"864504031502210","12.995635032653809","77.72972106933594","Hudi","Overspeed","13","2018-04-03T02:03:18.000Z"
"864504031502210","12.995429992675781","77.72833251953125","Hudi","Overspeed","12","2018-04-03T02:03:50.000Z"
"864504031502210","12.995368003845215","77.72797393798828","Hudi","Overspeed","14","2018-04-03T02:03:58.000Z"
"864504031502210","12.994988441467285","77.72691345214844","Hudi","UFCW","20","2018-04-03T02:04:15.000Z"
"864504031502210","12.994959831237793","77.72689056396484","Hudi","UFCW","14","2018-04-03T02:04:16.000Z"
"864504031502210","12.994871139526367","77.72684478759766","Hudi","Overspeed","12","2018-04-03T02:04:21.000Z"
"864504031502210","12.994370460510254","77.72686767578125","Hudi","UFCW","16","2018-04-03T02:04:31.000Z"
"864504031502210","12.994026184082031","77.72683715820312","Hudi","Overspeed","15","2018-04-03T02:04:54.000Z"
"864504031502210","12.992734909057617","77.72685241699219","Hudi","Overspeed","11","2018-04-03T02:05:16.000Z"
"864504031502210","12.991943359375","77.72694396972656","Hudi","Overspeed","13","2018-04-03T02:05:29.000Z"
"864504031502210","12.991045951843262","77.7276840209961","Hudi","Overspeed","13","2018-04-03T02:05:50.000Z"
"864504031502210","12.990455627441406","77.72758483886719","Hudi","Overspeed","19","2018-04-03T02:06:07.000Z"
"864504031502210","12.989331245422363","77.72724151611328","Hudi","UFCW","27","2018-04-03T02:06:24.000Z"
"864504031502210","12.988405227661133","77.73043060302734","Hudi","UFCW","10","2018-04-03T02:07:19.000Z"
"864504031502210","12.987920761108398","77.73328399658203","Hudi","UFCW","15","2018-04-03T02:08:51.000Z"
"864504031502210","12.987690925598145","77.73512268066406","Kadugodi","HMW","34","2018-04-03T02:09:36.000Z"
"864504031502210","12.987625122070312","77.73602294921875","Kadugodi","Overspeed","35","2018-04-03T02:09:46.000Z"
"864504031502210","12.987629890441895","77.73676300048828","Kadugodi","Overspeed","27","2018-04-03T02:09:56.000Z"
